first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Pascal,Groß,2,5,2033,24,902.5,412.6,345.0,166.2,8,0,1,56,MID
Shane,Duffy,1,1,1434,19,58.2,380.6,282.0,72.2,4,0,7,40,DEF
Davy,Pröpper,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Lewis,Dunk,1,0,2573,33,63.0,551.8,327.0,94.2,10,1,3,48,DEF
Solomon,March,0,2,1733,23,512.0,259.6,285.0,105.6,7,0,1,53,MID
Adam,Webster,2,0,1429,20,50.1,387.8,112.0,55.1,4,0,5,43,DEF
Joël,Veltman,1,1,2874,39,274.6,532.8,148.0,95.8,8,0,6,42,DEF
Neal,Maupay,8,3,2269,31,357.3,367.4,672.0,137.4,7,0,7,62,FWD
Leandro,Trossard,8,4,2803,33,708.3,627.6,1020.0,235.4,11,0,2,59,MID
Mathew,Ryan,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,GK
Alireza,Jahanbakhsh,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,55,MID
Bernardo,Fernandes Da Silva Junior,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Robert,Sánchez,0,0,3330,42,30.0,804.6,0.0,83.4,11,1,3,45,GK
Yves,Bissouma,1,2,2110,28,167.1,425.6,126.0,71.8,7,0,10,44,MID
Tariq,Lamptey,0,2,1547,21,353.4,246.0,172.0,76.8,6,0,4,45,DEF
